label,message
ham,Are we still meeting after the lecture today
spam,WIN a free prize now claim urgent cash
ham,Please bring your laptop to the lab session
spam,Urgent winner selected claim your reward now
ham,Can you review the Python file before class
spam,Free entry in cash draw reply WIN now
ham,The coursework practice file is in the repository
spam,Limited offer claim free voucher today
ham,I will send the notes after the meeting
spam,Congratulations you have won a cash prize
ham,Remember to commit and push your lab work
spam,Cheap loan approved click now
ham,The maze solver is working on the simple file
spam,Final notice claim your urgent account reward
ham,Could you explain the confusion matrix again
spam,Winner call now for free cash
ham,My train is late but I will attend the lab
spam,Exclusive deal claim voucher and reward
ham,The classifier should not hide useful messages
spam,Urgent prize waiting click to claim
